,city_id,City,Country,Lon,Lat,Cloudiness (%),Humidity,Temp,Wind Speed,Time
64,1651810,Airai,TL,125.41,-8.93,2,75,18.56,2.72,2019-06-25 18:41:54
65,546105,Nikolskoye,RU,30.79,59.7,0,39,18.35,3.0,2019-06-25 18:39:51
66,2142316,Yeppoon,AU,150.74,-23.13,40,82,15.0,3.6,2019-06-25 18:41:09
67,4695361,Galle,US,-97.91,29.74,1,62,30.71,3.1,2019-06-25 18:41:58
68,5989403,Kapuskasing,CA,-82.43,49.42,90,87,16.0,5.7,2019-06-25 18:42:00
69,1512205,Abaza,RU,90.1,52.65,96,71,9.16,2.46,2019-06-25 18:42:02
70,3833859,Barrow,AR,-60.23,-38.31,16,40,10.26,9.53,2019-06-25 18:42:03
71,2654970,Brae,GB,-1.35,60.4,0,81,11.0,5.1,2019-06-25 18:42:05
72,924572,Nsanje,MZ,35.26,-16.92,34,71,20.76,3.92,2019-06-25 18:42:06
73,3366880,Hermanus,ZA,19.24,-34.42,48,85,14.75,3.58,2019-06-25 18:42:07
74,359792,Aswan,EG,32.9,24.09,0,15,40.0,1.5,2019-06-25 18:42:09
75,3500957,La Romana,DO,-68.97,18.43,40,59,31.26,5.7,2019-06-25 18:41:00
76,1337620,Funadhoo,MV,73.27,6.15,90,78,28.66,5.24,2019-06-25 18:42:12
77,2110227,Butaritari,KI,172.79,3.07,100,81,28.16,6.34,2019-06-25 18:42:13
78,2267254,Lagoa,PT,-8.45,37.14,0,78,21.73,5.7,2019-06-25 18:42:15
79,2126199,Cherskiy,RU,161.3,68.75,2,36,18.56,1.59,2019-06-25 18:42:17
80,4231997,Avera,US,-82.53,33.19,1,52,32.0,3.1,2019-06-25 18:42:19
81,3932145,Pisco,PE,-76.2,-13.71,0,30,19.97,5.7,2019-06-25 18:42:20
82,5895710,Winona,CA,-79.65,43.21,75,64,23.3,8.2,2019-06-25 18:42:22
83,3351663,Benguela,AO,13.4,-12.58,40,83,22.0,5.1,2019-06-25 18:42:23
84,2541479,Nador,MA,-2.93,35.17,0,65,25.0,2.6,2019-06-25 18:42:24
85,1106643,Quatre Cocos,MU,57.76,-20.21,75,78,23.65,6.7,2019-06-25 18:42:26
86,1510842,Barsovo,RU,73.17,61.17,0,62,12.0,2.0,2019-06-25 18:42:27
87,3583178,San Vicente,SV,-88.78,13.64,20,47,32.5,4.6,2019-06-25 18:40:39
88,3464008,Esmeraldas,BR,-44.31,-19.76,40,47,26.5,2.6,2019-06-25 18:42:32
89,535417,Lev Tolstoy,RU,39.45,53.21,0,55,18.0,2.0,2019-06-25 18:42:33
90,5866063,Kenai,US,-151.26,60.55,90,87,13.16,5.1,2019-06-25 18:42:35
91,1163054,Turbat,PK,63.05,26.0,0,74,27.96,1.96,2019-06-25 18:42:36
92,2129868,Iwanai,JP,140.51,42.97,10,96,12.26,1.96,2019-06-25 18:39:13
93,1214488,Meulaboh,ID,96.13,4.14,59,75,27.96,3.52,2019-06-25 18:42:39
94,3453439,Ponta do Sol,BR,-46.0,-20.63,38,51,24.06,3.11,2019-06-25 18:39:33
95,1500933,Labytnangi,RU,66.39,66.66,100,98,1.56,1.95,2019-06-25 18:42:41
96,1733782,Victoria,BN,115.24,5.28,75,88,27.1,2.07,2019-06-25 18:41:27
97,2737599,Saldanha,PT,-6.55,41.42,100,55,22.46,1.01,2019-06-25 18:39:36
98,3652462,San Cristobal,EC,-78.55,-0.39,75,38,20.07,2.1,2019-06-25 18:42:46
99,3374210,Sao Filipe,CV,-24.5,14.9,2,82,23.86,8.87,2019-06-25 18:42:47
100,1648759,Bima,ID,118.73,-8.45,2,95,17.36,1.01,2019-06-25 18:42:48
101,5864145,Homer,US,-151.54,59.64,1,67,16.63,5.1,2019-06-25 18:42:50
102,4069659,Jasper,US,-87.28,33.83,40,49,30.2,2.47,2019-06-25 18:39:28
103,3700393,Tubuala,PA,-79.03,9.52,40,94,24.0,3.1,2019-06-25 18:42:53
104,2122783,Katangli,RU,143.23,51.71,97,94,6.96,7.9,2019-06-25 18:42:54
105,2450173,Taoudenni,ML,-3.98,22.68,0,4,45.86,5.49,2019-06-25 18:42:55
106,3466165,Cidreira,BR,-50.22,-30.17,100,60,23.66,6.23,2019-06-25 18:42:57
107,5855927,Hilo,US,-155.08,19.71,1,61,25.42,2.6,2019-06-25 18:38:12
108,3939761,Hualmay,PE,-77.61,-11.1,80,82,16.96,5.93,2019-06-25 18:43:01
109,2517679,Fortuna,ES,-1.13,38.18,0,54,25.39,6.2,2019-06-25 18:40:27
110,2208248,Kaitangata,NZ,169.85,-46.28,16,77,5.0,3.13,2019-06-25 18:43:03
111,1253628,Lata,IN,78.62,30.78,74,90,4.56,0.1,2019-06-25 18:43:05
112,138025,Damghan,IR,54.34,36.17,15,79,19.76,1.28,2019-06-25 18:43:06
113,3471451,Arraial do Cabo,BR,-42.02,-22.97,0,65,28.51,6.2,2019-06-25 18:43:08
114,6170031,Tuktoyaktuk,CA,-133.03,69.44,75,80,4.0,8.7,2019-06-25 18:43:12
115,3448903,Sao Joao da Barra,BR,-41.05,-21.64,0,55,28.44,5.1,2019-06-25 18:43:13
116,2522325,Aguimes,ES,-15.45,27.91,75,73,23.73,7.7,2019-06-25 18:43:14
117,134602,Fereydun Kenar,IR,52.52,36.69,75,74,28.0,2.1,2019-06-25 18:43:16
118,6111862,Port Hardy,CA,-127.42,50.7,40,81,12.0,2.6,2019-06-25 18:42:12
119,4011743,Constitucion,MX,-104.67,23.99,40,31,26.05,4.1,2019-06-25 18:40:27
120,5954718,Flin Flon,CA,-101.88,54.77,75,63,16.0,3.6,2019-06-25 18:43:20
121,6690297,Saint-Leu,RE,55.28,-21.15,100,88,19.44,3.1,2019-06-25 18:43:21
122,477940,Ust-Tsilma,RU,52.15,65.44,93,55,10.86,2.46,2019-06-25 18:43:23
123,3831208,Qaanaaq,GL,-69.36,77.48,100,93,1.16,2.08,2019-06-25 18:41:42
124,2288105,Grand-Lahou,CI,-5.0,5.24,99,88,24.56,2.41,2019-06-25 18:43:25
125,3372760,Praia da Vitoria,PT,-27.07,38.73,75,64,20.31,7.18,2019-06-25 18:43:27
126,3622193,Quepos,CR,-84.16,9.43,0,61,26.16,2.1,2019-06-25 18:43:28
127,1794971,Shitanjing,CN,106.34,39.23,98,58,20.56,1.21,2019-06-25 18:43:29
128,6111696,Port-Cartier,CA,-66.88,50.03,20,45,19.0,3.6,2019-06-25 18:40:50
129,1563281,Tuy Hoa,VN,109.3,13.08,98,91,24.56,1.62,2019-06-25 18:43:32
130,2514651,Los Llanos de Aridane,ES,-17.92,28.66,75,73,21.17,4.6,2019-06-25 18:43:33
131,2160063,Codrington,AU,153.24,-28.95,90,93,13.0,2.59,2019-06-25 18:43:35
132,2021093,Kuytun,RU,101.51,54.34,100,97,9.76,5.04,2019-06-25 18:43:36
133,1633070,Palembang,ID,104.76,-2.99,69,92,22.76,1.37,2019-06-25 18:43:37
134,4020109,Atuona,PF,-139.03,-9.8,15,75,27.36,9.64,2019-06-25 18:43:39
135,2396853,Omboue,GA,9.26,-1.57,8,76,24.46,5.57,2019-06-25 18:43:40
136,217562,Butembo,CD,29.29,0.12,100,97,16.26,0.91,2019-06-25 18:43:42
137,515246,Onega,RU,38.09,63.91,83,76,11.96,3.02,2019-06-25 18:43:44
138,2092164,Lorengau,PG,147.27,-2.02,19,84,26.26,1.95,2019-06-25 18:43:26
139,4828890,Chillicothe,US,-82.98,39.33,40,50,27.34,5.1,2019-06-25 18:41:00
140,1803331,Linxia,CN,103.21,35.6,90,84,13.26,1.54,2019-06-25 18:39:05
141,3354077,Opuwo,NA,13.84,-18.06,0,60,12.26,2.09,2019-06-25 18:43:51
142,2030065,Mandalgovi,MN,106.27,45.76,15,36,16.26,3.94,2019-06-25 18:43:52
143,3453837,Pindamonhangaba,BR,-45.46,-22.93,0,37,28.33,4.6,2019-06-25 18:43:54
144,2249901,Gat,SN,-16.54,14.69,1,56,28.06,9.07,2019-06-25 18:43:55
145,4031574,Provideniya,RU,-173.23,64.42,98,81,4.36,5.63,2019-06-25 18:43:54
146,5970234,Hanna,CA,-111.93,51.64,100,85,14.07,2.68,2019-06-25 18:44:00
147,1650434,Bambanglipuro,ID,110.28,-7.95,2,85,24.36,5.57,2019-06-25 18:44:01
148,3437029,San Patricio,PY,-56.83,-26.98,96,92,13.96,5.88,2019-06-25 18:44:03
149,2610806,Vagur,FO,-6.81,61.47,80,90,10.36,5.24,2019-06-25 18:43:14
150,1294041,Taungdwingyi,MM,95.55,20.0,96,80,27.26,5.33,2019-06-25 18:44:05
151,1226260,Trincomalee,LK,81.23,8.58,100,73,27.46,4.26,2019-06-25 18:44:07
152,146214,Nata,CY,32.57,34.78,0,83,25.57,3.6,2019-06-25 18:44:08
153,3827693,La Macarena,CO,-73.79,2.18,26,50,31.36,1.61,2019-06-25 18:44:10
154,2123814,Leningradskiy,RU,178.42,69.38,76,95,0.46,3.87,2019-06-25 18:44:12
155,2447513,Arlit,NE,7.39,18.74,0,5,41.96,2.0,2019-06-25 18:40:09
156,2175403,Bluff,AU,149.07,-23.58,55,81,12.36,3.68,2019-06-25 18:43:21
157,2030159,Bayangol,MN,106.09,48.91,20,74,12.96,2.61,2019-06-25 18:44:16
158,2963517,Castlemaine,IE,-9.7,52.17,40,82,18.0,3.1,2019-06-25 18:44:18
159,3372707,Ribeira Grande,PT,-28.7,38.52,40,64,21.0,5.1,2019-06-25 18:39:36
160,3418910,Upernavik,GL,-56.15,72.79,100,92,2.46,5.94,2019-06-25 18:39:51
161,187585,Marsabit,KE,37.99,2.34,0,38,30.36,8.33,2019-06-25 18:44:21
162,1106677,Bambous Virieux,MU,57.76,-20.34,75,78,23.63,6.7,2019-06-25 18:44:23
163,344979,Lebu,ET,38.73,8.96,75,59,18.0,2.03,2019-06-25 18:39:58
