,Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws
62,Sami Zayn,26.0,26.0,0.0,54.0,52.0,0.0,22.0,11.0,1.0,111.0,59.0,6.0
63,Sasha Banks,23.0,29.0,0.0,26.0,46.0,0.0,62.0,87.0,2.0,101.0,28.0,5.0
64,Primo,3.0,48.0,0.0,,,,,,,19.0,54.0,1.0
65,Alex Riley,19.0,31.0,0.0,,,,,,,11.0,20.0,0.0
66,Xavier Woods,30.0,20.0,0.0,33.0,45.0,1.0,53.0,59.0,1.0,83.0,26.0,1.0
67,Epico,2.0,47.0,0.0,,,,,,,21.0,52.0,1.0
68,Cameron,39.0,9.0,0.0,36.0,51.0,1.0,7.0,52.0,0.0,,,
69,Sin Cara,26.0,20.0,2.0,81.0,49.0,0.0,115.0,50.0,1.0,69.0,62.0,2.0
70,Sin Cara,9.0,0.0,0.0,81.0,49.0,0.0,115.0,50.0,1.0,69.0,62.0,2.0
71,Colin Cassady,11.0,33.0,0.0,47.0,23.0,1.0,69.0,24.0,0.0,38.0,7.0,2.0
72,Bayley,22.0,21.0,0.0,46.0,31.0,0.0,99.0,19.0,1.0,126.0,11.0,2.0
73,Nikki Bella,21.0,22.0,0.0,75.0,39.0,0.0,68.0,43.0,0.0,34.0,13.0,1.0
74,Scott Dawson,10.0,32.0,0.0,12.0,29.0,0.0,38.0,58.0,0.0,34.0,63.0,3.0
75,CJ Parker,20.0,20.0,0.0,24.0,41.0,0.0,0.0,18.0,0.0,,,
76,Kassius Ohno,16.0,24.0,0.0,,,,,,,,,
77,Summer Rae,15.0,25.0,0.0,19.0,55.0,2.0,11.0,50.0,0.0,12.0,42.0,0.0
78,Goldust,25.0,13.0,1.0,101.0,77.0,1.0,22.0,40.0,0.0,96.0,26.0,0.0
79,Rick Victor,28.0,11.0,0.0,,,,,,,,,
80,Ted DiBiase,22.0,14.0,1.0,,,,,,,,,
81,Baron Corbin,8.0,28.0,0.0,55.0,16.0,0.0,61.0,54.0,0.0,103.0,59.0,3.0
82,Mojo Rawley,29.0,7.0,0.0,23.0,9.0,0.0,41.0,11.0,0.0,113.0,31.0,2.0
83,Michael McGillicutty,6.0,27.0,2.0,,,,,,,,,
84,Charlotte,17.0,16.0,0.0,40.0,36.0,0.0,108.0,35.0,3.0,86.0,42.0,1.0
85,Christian,22.0,11.0,0.0,10.0,14.0,0.0,,,,,,
86,Yoshi Tatsu,13.0,17.0,2.0,,,,,,,,,
